Particulars,Purchase Price,Qty,Investment,Portfolio (%),NSE/BSE,Sector
LTI Mindtree,4775,16,76400,5%,LTIM,Tech Sector
HDFC Bank,1490,50,74500,5%,HDFCBANK,Financial Sector
Dmart,3777,27,101979,7%,DMART,Consumer
Bajaj Finance,6466,15,96990,6%,BAJFINANCE,Financial Sector
Astral,1517,56,84952,6%,ASTRAL,Pipe Sector
Affle India,1151,50,57550,4%,AFFLE,Tech Sector
Bajaj Housing,130,504,65520,4%,544252,Financial Sector
BLS E-Services,232,191,44312,3%,544107,Tech Sector
Tata Tech,1072,63,67536,4%,544028,Tech Sector
Hariom Pipes,580,60,34800,2%,543517,Pipe Sector
Clean Science,1610,32,51520,3%,543318,Others
Gensol,998,45,44910,3%,542851,Power
Polycab,2818,28,78904,5%,542652,Pipe Sector
KPIT Tech,672,61,40992,3%,542651,Tech Sector
KPI Green,875,50,43750,3%,542323,Power
Fine Organic,4284,16,68544,4%,541557,Others
SBI Life,1197,49,58653,4%,540719,Others
Gravita,2037,8,16296,1%,533282,Others
Tanla,1134,45,51030,3%,532790,Tech Sector
Suzlon,44,450,19800,1%,532667,Power
Tata Consumer,845,90,76050,5%,532540,Consumer
ICICI Bank,780,84,65520,4%,532174,Financial Sector
Savani Financials,24,1080,25920,2%,511577,Financial Sector
Deepak Nitrite,2248,27,60696,4%,506401,Others
Tata Power,224,225,50400,3%,500400,Power
Pidilite,2376,36,85536,6%,500331,Consumer